player,pos,age,tm,g,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,salary,salary_million,value_index,salary_per_point,pts_per_minute,efficiency_index,efficiency_per_million
luka garza,C,24,MIN,28,0,8.7,2.3,4.1,0.543,0.5,1.4,0.359,1.8,2.8,0.636,0.603,1.5,1.9,0.788,1.2,1.1,2.3,0.6,0.1,0.1,0.5,1.5,6.5,508891.0,0.508891,18.471539091868397,2796.1043802411846,0.7471263509050172,9.1,17.882021886808765
rudy gay,PF,36,UTA,56,0,14.6,1.9,5.1,0.38,0.6,2.3,0.254,1.4,2.8,0.484,0.437,0.8,0.9,0.857,0.6,2.3,2.9,1.0,0.3,0.3,0.7,1.2,5.2,6184500.0,6.1845,1.4714204867006224,21237.980696298146,0.35616435916682476,9.000000000000002,1.4552510308028137
paul george,SF,32,LAC,56,56,34.6,8.2,17.9,0.457,2.8,7.6,0.371,5.4,10.3,0.521,0.536,4.6,5.3,0.871,0.8,5.3,6.1,5.1,1.5,0.4,3.1,2.8,23.8,42492492.0,42.492492,0.823674921207257,31882.121824818336,0.6878612517959176,33.8,0.7954346381944367
taj gibson,C,37,WAS,49,2,9.8,1.3,2.6,0.52,0.2,0.5,0.333,1.2,2.1,0.564,0.552,0.6,0.9,0.714,0.7,1.2,1.9,0.7,0.3,0.2,0.5,1.7,3.4,2905851.0,2.905851,2.0647996060362352,17442.08272843888,0.34693874010829184,6.0,2.0647996060362352
josh giddey,PF,20,OKC,76,76,31.1,7.1,14.7,0.482,1.0,3.1,0.325,6.1,11.6,0.524,0.516,1.4,1.9,0.731,1.9,5.9,7.9,6.2,0.8,0.4,2.8,1.9,16.6,6287400.0,6.2874,4.882781435887648,4983.6715242678565,0.533762040715047,29.099999999999998,4.628304227502624
shai gilgeous-alexander,PG,24,OKC,68,68,35.5,10.4,20.3,0.51,0.9,2.5,0.345,9.5,17.8,0.533,0.531,9.8,10.9,0.905,0.9,4.0,4.8,5.5,1.6,1.0,2.8,2.8,31.4,30913750.0,30.91375,1.3489143180623508,14478.151922780935,0.8845070173378305,41.5,1.3424447050260806
anthony gill,PF,30,WAS,59,8,10.6,1.2,2.2,0.538,0.1,0.5,0.138,1.1,1.7,0.65,0.553,0.8,1.1,0.731,0.6,1.1,1.7,0.6,0.1,0.2,0.3,1.2,3.3,1836090.0,1.83609,3.0499594246469397,9430.354342936034,0.3113207253471014,5.6,3.0499594246469397
jacob gilyard,PG,24,MEM,1,0,41.0,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,,0.5,0.0,0.0,,0.0,4.0,4.0,7.0,3.0,0.0,2.0,3.0,3.0,5849.0,0.005849,2393.571550692426,1949.6660167779944,0.07317072992266513,15.0,2564.5409471704565
rudy gobert,C,30,MIN,70,70,30.7,5.1,7.8,0.659,0.0,0.0,0.0,5.1,7.8,0.663,0.659,3.1,4.9,0.644,3.3,8.3,11.6,1.2,0.8,1.4,1.7,3.0,13.4,38172414.0,38.172414,0.6863595265418634,40695.5372700474,0.4364820704728967,26.7,0.6994579907888455
jordan goodwin,PG,24,WAS,62,7,17.8,2.5,5.7,0.448,0.6,1.9,0.322,1.9,3.8,0.511,0.501,0.9,1.1,0.768,0.9,2.4,3.3,2.7,0.9,0.4,0.9,1.5,6.6,1280206.0,1.280206,9.842166026405124,3128.558154622292,0.3707864960232305,12.999999999999998,10.154615741529097
aaron gordon,PF,27,DEN,68,68,30.2,6.3,11.2,0.564,0.9,2.5,0.347,5.4,8.6,0.628,0.603,2.8,4.6,0.608,2.4,4.1,6.6,3.0,0.8,0.8,1.4,1.9,16.3,19690909.0,19.690909,1.3153277992397403,17765.165086823195,0.5397350814657258,26.1,1.3254847706624413
eric gordon,SG,34,TOT,69,58,28.5,4.2,9.5,0.446,1.9,5.2,0.371,2.3,4.3,0.535,0.547,2.1,2.5,0.821,0.2,1.7,1.9,2.7,0.6,0.4,1.5,1.1,12.4,19568360.0,19.56836,0.8687493484379888,22870.92096438649,0.43508770403201036,16.5,0.843197897013342
eric gordon,SG,34,HOU,47,47,30.2,4.5,10.2,0.439,1.8,5.2,0.347,2.7,5.0,0.536,0.528,2.3,2.9,0.815,0.3,1.8,2.1,2.9,0.6,0.4,1.8,1.0,13.1,19568360.0,19.56836,0.9249625415722115,31782.29652138656,0.43377482007368146,17.299999999999997,0.8840802192927766
eric gordon,SG,34,LAC,22,11,24.9,3.7,8.0,0.463,2.1,5.0,0.423,1.5,2.9,0.531,0.597,1.5,1.7,0.842,0.2,1.5,1.7,2.1,0.6,0.4,1.0,1.5,11.0,19568360.0,19.56836,0.7563229621695431,80860.99140140087,0.4417670505314438,14.799999999999999,0.7563229621695431
jerami grant,PF,28,POR,63,63,35.7,6.9,14.5,0.475,2.3,5.7,0.401,4.6,8.8,0.523,0.554,4.4,5.4,0.813,0.8,3.7,4.5,2.4,0.8,0.8,1.8,2.4,20.5,20955000.0,20.955,1.3075638272488666,16225.319383487944,0.5742296757918858,27.2,1.2980195657361013
raiquan gray,PF,23,BRK,1,0,35.0,6.0,12.0,0.5,2.0,5.0,0.4,4.0,7.0,0.571,0.583,2.0,2.0,1.0,3.0,6.0,9.0,7.0,0.0,1.0,4.0,5.0,16.0,5849.0,0.005849,5471.020687296974,365.56247715234514,0.4571428440816331,29.0,4958.112497862882
danny green,SG,35,TOT,11,0,12.5,2.0,4.5,0.449,1.5,3.4,0.432,0.5,1.1,0.5,0.612,0.1,0.1,1.0,0.3,1.0,1.3,0.5,0.5,0.3,0.9,1.5,5.5,11710528.0,11.710528,0.6233706968635402,193562.44308161252,0.43999996480000286,7.199999999999999,0.6148313722489711
danny green,SG,35,MEM,3,0,14.3,1.0,3.7,0.273,1.0,2.7,0.375,0.0,1.0,0.0,0.409,0.0,0.0,,0.3,1.0,1.3,0.7,0.3,0.0,1.0,2.0,3.0,11710528.0,11.710528,0.4269662307284522,1301169.6332033742,0.20979019511956679,4.3,0.36719095842646887
danny green,SG,35,CLE,8,0,11.9,2.4,4.8,0.5,1.6,3.6,0.448,0.8,1.1,0.667,0.671,0.1,0.1,1.0,0.3,1.0,1.3,0.5,0.6,0.4,0.9,1.3,6.5,11710528.0,11.710528,0.7087639430092307,225202.45720764506,0.5462184414942486,8.4,0.7173032676237997
draymond green,PF,32,GSW,73,73,31.5,3.4,6.5,0.527,0.5,1.8,0.305,2.9,4.7,0.612,0.57,1.1,1.5,0.713,0.9,6.3,7.2,6.8,1.0,0.8,2.8,3.1,8.5,25806468.0,25.806468,0.8718744463597266,41589.79525932346,0.26984126127488056,21.5,0.833124470965961
jalen green,SG,20,HOU,76,76,34.2,7.4,17.9,0.416,2.5,7.3,0.338,5.0,10.6,0.471,0.485,4.8,6.1,0.786,0.6,3.2,3.7,3.7,0.8,0.2,2.6,1.7,22.1,9441840.0,9.44184,3.1243910085322355,5621.481301725718,0.6461988115146546,27.9,2.954932513154216
jamychal green,PF,32,GSW,57,1,14.0,2.4,4.4,0.54,0.7,1.9,0.378,1.6,2.5,0.667,0.623,0.9,1.2,0.776,1.3,2.3,3.6,0.9,0.4,0.4,0.9,1.8,6.4,8200000.0,8.2,1.329268292682927,22478.07011382108,0.4571428244897983,10.8,1.3170731707317076
javonte green,SF,29,CHI,32,1,15.0,1.9,3.4,0.565,0.4,1.1,0.371,1.5,2.3,0.658,0.625,0.9,1.4,0.667,0.8,1.9,2.8,0.7,0.8,0.7,0.6,1.6,5.2,1815677.0,1.815677,4.791601149323365,10911.520367118266,0.34666664355555715,9.6,5.2872840268395755
jeff green,PF,36,DEN,56,4,19.5,2.9,5.9,0.488,0.5,1.9,0.288,2.3,4.0,0.58,0.534,1.6,2.1,0.744,0.7,1.9,2.6,1.2,0.3,0.3,0.8,1.8,7.8,4500000.0,4.5,2.5777777777777775,10302.197778612184,0.3999999794871805,11.4,2.533333333333333
josh green,SG,22,DAL,60,21,25.7,3.4,6.4,0.537,1.1,2.8,0.402,2.3,3.6,0.643,0.626,1.1,1.6,0.723,0.9,2.1,3.0,1.7,0.7,0.1,1.2,2.6,9.1,3098400.0,3.0984,4.453911696359412,5674.725264332005,0.3540855893351911,13.399999999999999,4.324812806609863
aj griffin,SF,19,ATL,72,12,19.5,3.4,7.4,0.465,1.4,3.6,0.39,2.0,3.8,0.536,0.56,0.6,0.7,0.894,0.5,1.6,2.1,1.0,0.6,0.2,0.6,1.2,8.9,3536160.0,3.53616,3.3935116058096915,5518.352051313433,0.4564102330046034,12.2,3.4500701325731864
blake griffin,C,33,BOS,41,16,13.9,1.5,3.2,0.485,0.6,1.6,0.348,1.0,1.6,0.625,0.573,0.5,0.8,0.656,1.1,2.6,3.8,1.5,0.3,0.2,0.5,1.8,4.1,2905851.0,2.905851,3.2348527161234344,17286.44249085995,0.2949640075565462,9.399999999999999,3.2348527161234344
quentin grimes,SG,22,NYK,71,66,29.9,4.0,8.5,0.468,2.2,5.7,0.386,1.8,2.7,0.641,0.599,1.1,1.4,0.796,0.7,2.5,3.2,2.1,0.7,0.4,1.0,2.5,11.3,2277000.0,2.277,7.290294246815986,2838.090486304262,0.37792640876500305,16.7,7.334211682037768
